Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
		Sateri	game/options.rpy	14
		回退	game/screens.rpy	245
		历史	game/screens.rpy	246
		快进	game/screens.rpy	247
		自动	game/screens.rpy	248
		保存	game/screens.rpy	249
		快存	game/screens.rpy	250
		快读	game/screens.rpy	251
		设置	game/screens.rpy	252
		开始游戏	game/screens.rpy	291
		读取游戏	game/screens.rpy	299
		结束回放	game/screens.rpy	305
		标题菜单	game/screens.rpy	309
		关于	game/screens.rpy	311
		帮助	game/screens.rpy	316
		退出	game/screens.rpy	321
		返回	game/screens.rpy	464
		版本 [config.version!t]\n	game/screens.rpy	547
		引擎：{a=https://www.renpy.org/}Ren'Py{/a} [renpy.version_only]\n\n[renpy.license!t]	game/screens.rpy	553
		第 {} 页	game/screens.rpy	588
		自动存档	game/screens.rpy	588
		快速存档	game/screens.rpy	588
		{#file_time}%Y-%m-%d %H:%M	game/screens.rpy	629
		空存档位	game/screens.rpy	629
		<	game/screens.rpy	649
		{#auto_page}A	game/screens.rpy	653
		{#quick_page}Q	game/screens.rpy	656
		>	game/screens.rpy	662
		上传同步	game/screens.rpy	667
		下载同步	game/screens.rpy	671
		显示	game/screens.rpy	729
		窗口	game/screens.rpy	730
		全屏	game/screens.rpy	731
		未读文本	game/screens.rpy	736
		选项后继续	game/screens.rpy	737
		忽略转场	game/screens.rpy	738
		文字速度	game/screens.rpy	751
		自动前进时间	game/screens.rpy	755
		音乐音量	game/screens.rpy	762
		音效音量	game/screens.rpy	769
		测试	game/screens.rpy	775
		语音音量	game/screens.rpy	779
		全部静音	game/screens.rpy	790
		尚无对话历史记录。	game/screens.rpy	908
		键盘	game/screens.rpy	975
		鼠标	game/screens.rpy	976
		手柄	game/screens.rpy	979
		回车	game/screens.rpy	992
		推进对话并激活界面。	game/screens.rpy	993
		空格	game/screens.rpy	996
		在没有选择的情况下推进对话。	game/screens.rpy	997
		方向键	game/screens.rpy	1000
		导航界面。	game/screens.rpy	1001
		Esc	game/screens.rpy	1004
		访问游戏菜单。	game/screens.rpy	1005
		按住时快进对话。	game/screens.rpy	1009
		Tab	game/screens.rpy	1012
		切换对话快进。	game/screens.rpy	1013
		上一页	game/screens.rpy	1016
		回退至先前的对话。	game/screens.rpy	1017
		下一页	game/screens.rpy	1020
		向前至后来的对话。	game/screens.rpy	1021
		隐藏用户界面。	game/screens.rpy	1025
		截图。	game/screens.rpy	1029
		切换辅助{a=https://doc.renpy.cn/zh-CN/self_voicing.html}机器朗读{/a}。	game/screens.rpy	1033
		打开无障碍菜单。	game/screens.rpy	1037
		左键点击	game/screens.rpy	1043
		中键点击	game/screens.rpy	1047
		右键点击	game/screens.rpy	1051
		鼠标滚轮上	game/screens.rpy	1055
		鼠标滚轮下	game/screens.rpy	1059
		右扳机键\nA/底键	game/screens.rpy	1066
		左扳机键\n左肩键	game/screens.rpy	1070
		右肩键	game/screens.rpy	1074
